name,address
Baguette Aouina,"ADRESSE: Avenue Monji Slim, Aouina Grand Tunis Les coordonnées: 36.852413, 10.258308"
Baguette Les Berges Du Lac 2,"ADRESSE: les Berges Du Lac 2 Grand Tunis Les coordonnées: 36.845497, 10.284188"
BONFIRE,"ADRESSE: 4 rue de l'environnement , jardin de l'aouina, 2035 Tunis prés crépe factory Grand Tunis Les coordonnées: 36.85775, 10.25393"
Papa John's Ain Zaghoune,"ADRESSE: Ain Zaghouan Grand Tunis Les coordonnées: 36.856735, 10.282959"
Sbiga Lunch,"ADRESSE: Rue le corail Avenue de la bourse lac 2 Grand Tunis Les coordonnées: 36.847992, 10.271148"
Legend's Al Aouina,"ADRESSE: Avenue Mongi Slim residence salma Cité El Mhiri El Aouina, Grand Tunis Les coordonnées: 36.861248, 10.254329"
Via Mercato,"ADRESSE: Lac 2 juste à droite apres Attijari banque Grand Tunis Les coordonnées: 36.848049, 10.269858"
Bariolo Juices Lac 2,"ADRESSE: TUNISIA MALL2 LAC2 Tunis, Mall 2, 3éme étage Grand Tunis Les coordonnées: 36.848106, 10.278779"
Peppico,"ADRESSE: rue de la bourse lac 2 Grand Tunis Les coordonnées: 36.847599, 10.265735"
La 5ème Aouina,"ADRESSE: Aouina Avenue Mongi Slim Résidence Les Jasmins à coté Cook Up et en face Legend's Aouina Grand Tunis Les coordonnées: 36.861015, 10.254314"
Chili's Lac,"ADRESSE: Les berges Lac 1 Grand Tunis Les coordonnées: 36.836361, 10.243969"
Crêpe Corner,"ADRESSE: 3 avenue Monji Slim, Aouina Grand Tunis Les coordonnées: 36.857769, 10.256473"
Omega,"ADRESSE: Rue de la Feuille d'Érable, Les berges du lac 2 Grand Tunis Les coordonnées: 36.84811, 10.275904"
The Voice,"ADRESSE: Lac 2 - en face Sbiga Lunch près Green is better Grand Tunis Les coordonnées: 36.848236, 10.271284"
Wood's,"ADRESSE: La soukra rue de mosqée rawtha prés poste Grand Tunis Les coordonnées: 36.862415, 10.264725"
Eat Me,"ADRESSE: LAC 2 a coté de IFM et en face assurance GAT Grand Tunis Les coordonnées: 36.844696, 10.270173"
Restaurant Ettounsi,"ADRESSE: Rue Liante, Avenue mongi Slim , l'aouina 2045 tunis Prés Salon de Thé My Place , coté Carfour Express Grand Tunis Les coordonnées: 36.859138, 10.257067"
"Il Vongole "" La Romanesca ""","ADRESSE: Rue des Lac de Mazurie, Les Berges Du Lac, Tunis 1053 Grand Tunis Les coordonnées: 36.840294, 10.245693"
Flamnigo's,"ADRESSE: Lac 1 Rue nourane prés hotel movenpick Grand Tunis Les coordonnées: 36.836964, 10.247663"
Le Cercle,"ADRESSE: 5, rue de la Feuille d'Érable Les Berges du Lac II Grand Tunis Les coordonnées: 36.844688, 10.283148"
La Croisette,"ADRESSE: Les Berges Du Lac 1 rue du Lac Biwa en face du rond point juste derrière Dah Dah Grand Tunis Les coordonnées: 36.830269, 10.227238"
Cafe Du Lac,"ADRESSE: Lac 2 prés de IFM Grand Tunis Les coordonnées: 36.844475, 10.27034"
Mac Tunis,"ADRESSE: Av. Khaled Ibn El Walid , aouina Grand Tunis Les coordonnées: 36.857452, 10.266106"
Green Is Better,"ADRESSE: Les berges du lac 2 Grand Tunis Les coordonnées: 36.847988, 10.271169"
Triade,"ADRESSE: Triade prés de siege huawei Grand Tunis Les coordonnées: 36.848225, 10.269777"
Chez Nous,"ADRESSE: Les Berges du Lac 2 Rue de La Bourse Grand Tunis Les coordonnées: 36.847431, 10.265201"
A LA SALLALA,"ADRESSE: Lac 2 Avenue Du Dollar près de Maison de Tailleur et Grocery Store Fleur de Datte Grand Tunis Les coordonnées: 36.847546, 10.27019"
Downtown Lounge,"ADRESSE: résidence rani M10 laouina, Avenue Monji Slim, Tunis Grand Tunis Les coordonnées: 36.858494, 10.256301"
Cool Tounsi,"ADRESSE: Avenue du Yen lac 2 Grand Tunis Les coordonnées: 36.84729, 10.266393"
Restaurant Slouma,"ADRESSE: l'aouina Rue Khaled Ebno el walid prés café el jawhra Grand Tunis Les coordonnées: 36.853535, 10.259111"
Abou Ahmed,"ADRESSE: Lac 1, rue la maracaibo derrière siège total Grand Tunis Les coordonnées: 36.836723, 10.247103"
Plan B El Aouina,"ADRESSE: Avenue Dar Fadhal, L 'aouina Grand Tunis Les coordonnées: 36.860367, 10.253735"
Cook Up,"ADRESSE: Aouina , Avenue Dar Fadhal Grand Tunis Les coordonnées: 36.860699, 10.25414"
Stoumy,"ADRESSE: Résidence Berceau du Lac, Magasin 3, Lac 2 Grand Tunis Les coordonnées: 36.847702, 10.272357"
Taxi Pizza,"ADRESSE: Avenue Monji Slim, Aouina Grand Tunis Les coordonnées: 36.857903, 10.256174"
La Caverna,"ADRESSE: 09 Rue de l'Oasis - Cité les Palmeraies l'Aouina Grand Tunis Les coordonnées: 36.859352, 10.265528"
DAR DOUJA,"ADRESSE: jardin aouina city des roses 2045 Prés café CafeIn Grand Tunis Les coordonnées: 36.858326, 10.256326"
La Trattoria El Aouina,"ADRESSE: Avenue Khaled ibn walid , Aouina Grand Tunis Les coordonnées: 36.857872, 10.266459"
Restaurant Lella Rkaia,"ADRESSE: 1 Rue Cheikh Mohamed Enneifer,Aouina Grand Tunis Les coordonnées: 36.862373, 10.264595"
Antony Lac,"ADRESSE: Rue du Lac Huran, Lac 1 Grand Tunis Les coordonnées: 36.83551, 10.247794"
L'entracte Pizza au Feu de Bois,"ADRESSE: L'aouina Immeuble Narjes à coté madame masmoudi Grand Tunis Les coordonnées: 36.861206, 10.251185"
Salsa,"ADRESSE: Aouina 19 Avenue Monji Slim entre Machaoui Soltan et Baguette Aouina Grand Tunis Les coordonnées: 36.851925, 10.258381"
Moustache Café,"ADRESSE: Les Berges du Lac 2 Avenue de La Bourse Grand Tunis Les coordonnées: 36.847698, 10.266514"
